File Name,Hearing Date,Decision Date,Case Number,Address,Type,Section,Description,Decision,OCR Flag
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance, | 911.04,use of warehouse residential is not permitted in Hill zoning district,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance,914.02.A,24 on-site parking spaces required and Ospaces requested,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance,914.06.A,one ADA space required and 0 requested : .,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance,| 914.10.A,one off-street loading space required and 0 requested,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance,| 916.02.A,minimum 15ft rear setback required and 3ft requested,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance __,| 903.03.D,minimum 15ft interior side setback required and 3ft requested 7,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 FROMAN ST 056-14.pdf,"March 6, 2014","May 1, 2014",56 of 2014,,Variance |,905..02.C,maximum 50% area of disturbance permitted 60% requested,"Decision Applicant's request for variances from Sections 911.04, 914.02.A , 914.06.A,914.10.A, 916.02.A, 903.03.D, and 905.02.C of the Code is hereby DENIED.renna L. Watson, Chairmeal ofa Lok x Porkiey",True
0 GRANDVIEW AVE - 302-16.pdf,"November 10, 2016","February 16, 2017",302 of 2016,0 Grandview Ave (Parcel No. 6-H-46),Protestant:," ""Lama Comp",r Advantage GP Company t/d/o/a Lamar Outdoor Advertising any (successor to Martin Media),"Decision: For the reasons set forth in the Board’s Findings of Fact and Conclusions of Law,the Department of Permits, Licenses and Inspections correctly issued the June 13,2016 Notices of Violation and determined that the Vinyl Sign on the SubjectProperty violates the Zoning Code. Lamar’s protest appeal is DENIED.",True
0 ROYCREST PL 036-14.pdf,"’ February 6, 2014","February 27, 2014",36 of 2014,. 0 Roycrest PI (parcel 126-H-161),Variance, | 903.03.A.2,Minimum 30 ft. exterior side setback required and 25 ft. requested .,"Decision: © The Applicant's request for variance under Code Section 903.03.A.2 is herebyAPPROVED WITH THE FOLLOWING CONDITIONS subject to the decision of theZoning Board of Adjustment:1. The Applicant must submit an updated site plan to the Zoning Administrator forreview and approval. The updated site plan must reflect the dimensionalchanges agreed upon during the ZBA Hearing.2. The Applicant must obtain a valid address for the Subject Property from theDepartment of Public Works.na L. Watson, Chas2 JL For K PURKLEYKirk B. Burkley",True
1 - 9 PRIDE ST - 144-17.pdf," June 8, 2017","August 10, 2017",; 144 of 2017,1-9 Pride Street.,Variance, 911.02,"zoning district ,","Decision: The Applicant's request to allow use of the Subject Property for commercial parkingis APPROVED, subject to these conditions:1. This approval shall expire as of September 1, 2018; ;2. .No more than 14 parking spaces shall be permitted on the Property; and3. Striping and landscaping must be provided in accordance with the Code’s.requirements.",True
1 28TH ST - 173-18.pdf,,"September 27, 2018",— 173 of 2018,"1 28"" St", Appeal/Revi, ew | 911.02,Continuation of existing parking lot use,"Decision: The variances to allow the proposed parking lot use are APPROVED, subject to thecondition that the site is improved with repaving, striping and, at minimum, 2,875 sfof landscaping and 8 trees.",True
